,Start Date,Label,Original Port Type,Charging Time (hh:mm:ss),Energy (kWh),Total Duration (hh:mm:ss),Port Number,CenterLon,CenterLat,Level 1,Level 2
3913,2015-02-21,1,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,44.585868000000005,0.0,12,-122.163,37.444,0,6
3914,2015-02-21,2,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2']",0.0,81.850915,0.0,25,-122.162,37.447,1,12
3915,2015-02-21,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,59.22945199999998,0.0,13,-122.11321931407944,37.422,0,13
3916,2015-02-21,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,73.633716,0.0,20,-122.13899999999995,37.445,0,10
3917,2015-02-22,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,66.64157399999999,0.0,14,-122.16,37.444,0,7
3918,2015-02-22,1,"['Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,24.591938,0.0,8,-122.163,37.444,0,4
3919,2015-02-22,2,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,59.478004,0.0,23,-122.162,37.447,1,11
3920,2015-02-22,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,111.4581,0.0,13,-122.11321931407944,37.422,0,13
3921,2015-02-22,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,49.058548,0.0,12,-122.13899999999995,37.445,0,6
3922,2015-02-23,0,"['Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,86.365494,0.0,23,-122.16,37.444,1,11
3923,2015-02-23,1,"['Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,47.130118,0.0,11,-122.163,37.444,1,5
3924,2015-02-23,2,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,83.152185,0.0,20,-122.162,37.447,0,10
3925,2015-02-23,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,78.737792,0.0,13,-122.11321931407944,37.422,0,13
3926,2015-02-23,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,81.65353200000001,0.0,26,-122.13899999999995,37.445,0,13
3927,2015-02-24,0,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,104.25174799999999,0.0,24,-122.16,37.444,0,12
3928,2015-02-24,1,"['Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,59.990722,0.0,13,-122.163,37.444,1,6
3929,2015-02-24,2,"['Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,90.14629400000001,0.0,26,-122.162,37.447,2,12
3930,2015-02-24,3,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,173.51904400000004,0.0,22,-122.11321931407944,37.422,0,22
3931,2015-02-24,4,"['Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,60.421735999999996,0.0,18,-122.13899999999995,37.445,0,9
3932,2015-02-25,0,"['Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,150.98929500000003,0.0,27,-122.16,37.444,1,13
3933,2015-02-25,1,"['Level 2', 'Level 1', 'Level 2', 'Level 2', 'Level 2', 'Level 2']",0.0,46.818274,0.0,11,-122.163,37.444,1,5
