,Label,ar,ma,AIC,r^2,RMSE,MAPE,MAE,SMAPE
65,0.0,6.0,5.0,2116.4535466201796,-0.1716328838016481,0.4879717658300481,0.17329111055233673,0.38203736387967857,8.174160371785485
66,0.0,6.0,6.0,2084.5351533612215,-0.4861679340811307,0.5495824571730573,0.19240297087632702,0.4245997782223201,9.086959446685858
67,0.0,6.0,7.0,2104.621645050103,-0.19123682121633356,0.4920372387963526,0.17415362610466562,0.38292004143932346,8.19918907712518
68,0.0,6.0,8.0,2113.5656519244785,-0.15364638446148726,0.4842116930182443,0.1716776705293147,0.37750094658875866,8.085682037561813
69,0.0,6.0,9.0,2097.771616107184,-0.17444817160994086,0.48855768174108505,0.17349342295693113,0.38155120509978974,8.16645280250774
70,0.0,7.0,0.0,2189.4216911176436,-0.25228180750987694,0.5044869702380032,0.17848871708392705,0.39482664221693486,8.442089885938293
71,0.0,7.0,1.0,2189.8737280930263,-0.28071271225458383,0.5101815845473245,0.18031100463572688,0.3991137622884616,8.535339423396282
72,0.0,7.0,2.0,2115.1318659276826,-0.7738460306080941,0.6004223893109452,0.21040597009989606,0.4661932545077097,9.992253161875896
73,0.0,7.0,3.0,2079.872513144569,-0.7429237216175062,0.5951659934409677,0.20907249539774847,0.4648966801440084,9.984615230382271
74,0.0,7.0,4.0,2091.585808628084,-0.386059146955559,0.5307497518215971,0.185381490087106,0.4076915906677089,8.715074987110455
75,0.0,7.0,5.0,2157.8336477241455,-1.6822597903757548,0.7383279983427444,0.2637190997704424,0.5861987852146896,12.633184510613706
76,0.0,7.0,6.0,2105.6919237086104,-0.18544373881082832,0.4908393719577186,0.1739179191153963,0.3826116871112137,8.19257392857272
77,0.0,7.0,7.0,2092.005039367926,-0.1607341163428433,0.4856968567296951,0.17240229079119115,0.37860887286615985,8.10281712880274
78,0.0,7.0,8.0,2096.685340533758,-0.15186471580485295,0.4838376450639661,0.1719822536674961,0.37806159692789093,8.088406805252603
79,0.0,7.0,9.0,2091.306659755609,-0.20732486893604252,0.49534865875483003,0.17496375018494087,0.38455372790817743,8.227389175177292
80,0.0,8.0,0.0,2181.5619245618536,-0.4296807197096124,0.5390368408670222,0.1888771692436832,0.41930952629130186,8.983517406340203
81,0.0,8.0,1.0,2184.2829559950296,-0.3353631597826372,0.5209530841585487,0.1825384259456253,0.4041181180997172,8.64777889748635
82,0.0,8.0,2.0,2112.469152825737,-0.9194563789999859,0.6245799543633738,0.2193355588223193,0.4856971624026547,10.426703741284356
