Start Date,Label,Charging Time (hh:mm:ss),Energy (kWh),Total Duration (hh:mm:ss),Port Number,CenterLon,CenterLat,Level 1,Level 2
2014-10-31,0.0,30983.28989997558,1929.641666125928,37061.43280104411,903.0,-122.163,37.422,62,448
2014-11-07,0.0,30215.053883495148,1842.353933155339,37465.797249190946,861.0,-122.163,37.422,60,436
2014-11-14,0.0,32751.91278317152,2164.1994421475174,37098.55875080907,919.0,-122.163,37.422,44,500
2014-11-21,0.0,29627.316666666666,1954.7516296971437,39481.61066666666,786.0,-122.163,37.422,41,439
2014-11-28,0.0,28725.38333333334,1804.0890959999995,35458.95,789.0,-122.163,37.422,29,438
2014-12-05,0.0,30918.883333333335,1989.3537710000005,39180.48333333334,856.0,-122.163,37.422,52,451
2014-12-12,0.0,33348.66390134528,2096.580188017938,40153.658893871434,897.0,-122.163,37.422,56,490
2014-12-19,0.0,28545.152765321378,1796.2615879820626,32988.5077727952,774.0,-122.163,37.422,33,430
2014-12-26,0.0,21366.999999999996,1450.5374762727274,26163.907575757574,611.0,-122.163,37.422,19,347
2015-01-02,0.0,36639.49999999999,2325.8212667272733,43513.05909090907,1008.0,-122.163,37.422,62,545
2015-01-09,0.0,37238.33936781609,2313.8586475977017,46741.59022988504,1002.0,-122.163,37.422,94,524
2015-01-16,0.0,40388.02729885056,2504.3150444023,48953.15977011492,1042.0,-122.163,37.422,92,561
2015-01-23,0.0,43355.67145061728,2639.3322034120356,48302.940817901224,1135.0,-122.163,37.422,78,616
2015-01-30,0.0,42203.11248694565,2672.763648772254,52712.74916195773,1154.0,-122.163,37.422,66,635
2015-02-06,0.0,44701.79939577038,2730.854017815709,55728.7933534743,1190.0,-122.163,37.422,81,647
2015-02-13,0.0,38591.36666666666,2427.960965000003,47474.88333333334,1119.0,-122.163,37.422,53,606
2015-02-20,0.0,42738.823132183934,2770.025398041826,51176.892161558106,1225.0,-122.163,37.422,50,684
2015-02-27,0.0,43672.91203891874,2784.791348304181,53612.20707798564,1216.0,-122.163,37.422,64,660
2015-03-06,0.0,41308.46177079336,2549.628287800782,51948.65274822387,1153.0,-122.163,37.422,57,630
2015-03-13,0.0,39655.1632678677,2517.6633070178436,49287.23945956631,1169.0,-122.163,37.422,54,639
2015-03-20,0.0,42234.26326579722,2688.142622691775,54859.969645315425,1177.0,-122.163,37.422,66,635
2015-03-27,0.0,43328.33802468744,2685.169803069077,54573.49402409184,1187.0,-122.163,37.422,70,651
2015-04-03,0.0,41655.185509257295,2646.9865981781013,52819.50733791143,1133.0,-122.163,37.422,64,616
2015-04-10,0.0,42418.96900765903,2722.931616496784,55642.897176686,1182.0,-122.163,37.422,46,664
2015-04-17,0.0,41756.41337677468,2710.357882308718,53524.330217146344,1164.0,-122.163,37.422,59,651
2015-04-24,0.0,45632.70887264002,2934.280850907436,58911.80294856643,1278.0,-122.163,37.422,70,706
2015-05-01,0.0,48859.84506675391,3136.4712281834722,63207.857202948624,1250.0,-122.163,37.422,86,700
2015-05-08,0.0,45192.533333333355,2973.8439360000025,57883.88333333332,1242.0,-122.163,37.422,54,684
2015-05-15,0.0,47240.324180790994,3144.096204694916,58829.79367231642,1292.0,-122.163,37.422,62,707
2015-05-22,0.0,44807.38548203607,2792.4395744349363,55485.60639677835,1238.0,-122.163,37.422,82,679
2015-05-29,0.0,46812.683072215674,3094.3074039357493,61876.321015376394,1346.0,-122.163,37.422,68,733
2015-06-05,0.0,41463.59874187016,2673.7871255970813,55019.44251244042,1207.0,-122.163,37.422,48,659
2015-06-12,0.0,40228.53627018596,2509.905190285697,50931.404758430646,1166.0,-122.163,37.422,55,637
2015-06-19,0.0,32765.781535297167,2049.5586271247653,42625.75085464995,1042.0,-122.163,37.422,45,516
2015-06-26,0.0,36404.41914897656,2323.3840088811053,49532.3182627748,1127.0,-122.163,37.422,60,561
2015-07-03,0.0,36558.03241200095,2353.984108917237,49129.64070661731,1129.0,-122.163,37.422,46,560
2015-07-10,0.0,40577.49262915965,2585.145900982885,52792.371871492884,1271.0,-122.163,37.422,55,633
2015-07-17,0.0,40515.37062244525,2569.4042846100624,52907.16622160404,1288.0,-122.163,37.422,57,637
2015-07-24,0.0,41248.53176971991,2614.2679179775846,53476.71002754038,1309.0,-122.163,37.422,58,657
2015-07-31,0.0,52857.661216906155,3434.52733652064,67626.04908033798,1566.0,-122.163,37.422,51,838
2015-08-07,0.0,52144.37760438588,3351.4108022663304,67618.28210756306,1543.0,-122.163,37.422,46,831
2015-08-14,0.0,56527.853389952594,3833.7390789651568,69813.6181467931,1668.0,-122.163,37.422,39,919
2015-08-21,0.0,57425.80192405707,3820.2057068058566,75120.17436528413,1733.0,-122.163,37.422,45,955
2015-08-28,0.0,57655.528431372564,3889.3261421058833,74988.0022549019,1681.0,-122.163,37.422,34,942
2015-09-04,0.0,56070.23713058616,3828.6684421187924,72845.85917778127,1570.0,-122.163,37.422,27,905
2015-09-11,0.0,65333.65767281781,4513.451588689823,94818.8020244863,1806.0,-122.163,37.422,23,1087
2015-09-18,0.0,66485.12607314742,4481.02886330544,87456.14345266778,1883.0,-122.163,37.422,33,1105
2015-09-25,0.0,68030.88032170561,4433.985888820799,88418.21512719966,1836.0,-122.163,37.422,52,1085
2015-10-02,0.0,62782.86346185258,4201.668703913216,84769.20739947441,1755.0,-122.163,37.422,37,1029
2015-10-09,0.0,64537.082347114294,4462.157525690781,83421.43876524302,1693.0,-122.163,37.422,28,1010
2015-10-16,0.0,64759.9848322534,4356.475348565175,86985.00711425146,1785.0,-122.163,37.422,30,1061
2015-10-23,0.0,65568.51211998425,4490.465346847178,94322.76887275848,1803.0,-122.163,37.422,38,1073
2015-10-30,0.0,68453.91418799617,4602.550972815647,93729.74429279294,1809.0,-122.163,37.422,42,1082
2015-11-06,0.0,70276.02166869967,4717.0038009653335,93797.06609878589,1879.0,-122.163,37.422,42,1127
2015-11-13,0.0,73346.32481067127,5034.821294246523,96928.28699966107,2010.0,-122.163,37.422,31,1207
2015-11-20,0.0,65253.96545731831,4519.4977066667025,88706.75561008637,1675.0,-122.163,37.422,30,1019
2015-11-27,0.0,67869.40251619293,4659.675441333097,98736.41355550475,1780.0,-122.163,37.422,29,1085
2015-12-04,0.0,71702.96756254291,5050.687528625739,99157.07551474024,1936.0,-122.163,37.422,17,1174
2015-12-11,0.0,77068.05103054021,5343.124400231748,105704.9244429398,1928.0,-122.163,37.422,51,1165
2015-12-18,0.0,63872.33318329433,4515.603001420196,88200.80686850056,1687.0,-122.163,37.422,16,1026
2015-12-25,0.0,48925.663195226916,3422.4936178070775,67443.27140003152,1293.0,-122.163,37.422,17,806
2016-01-01,0.0,68011.4906736267,4794.538669521393,92074.44346042213,1726.0,-122.163,37.422,37,1052
2016-01-08,0.0,78526.42627488622,5351.92171973146,105352.98324293365,2066.0,-122.163,37.422,61,1257
2016-01-15,0.0,102409.49793231316,7104.247105111004,136099.57655204175,2656.0,-122.163,37.422,56,1594
